gemeente,VVD,PVDA,PVV,SP,CDA,D66,CU,GL,SGP,Partij voor de Dieren,50PLUS,Piratenpartij,Partij voor Mens en Spirit (MenS),SOPN,Partij van de Toekomst (PvdT),Democratisch Politiek Keerpunt DPK,Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD,Partij
Overbetuwe,8025,6025,2345,2519,2644,2174,752,562,565,398,482,55,47,32,19,23,8,0,0,1,0,VVD
Papendrecht,5390,3952,2067,1412,1530,979,1238,244,887,335,444,52,32,16,12,17,11,4,3,6,0,VVD
Peel en Maas,7202,3936,4168,2759,3548,1398,76,368,15,311,577,67,38,23,24,19,14,17,1,3,0,VVD
Pekela,795,2777,954,1228,420,158,203,93,45,119,88,18,8,6,1,5,0,2,0,9,0,PVDA
Pijnacker-Nootdorp,10833,4884,3066,1460,2445,2608,735,617,235,575,463,75,46,32,20,42,18,11,9,2,0,VVD
Purmerend,12801,11714,6209,4264,1929,2582,427,641,77,993,1255,164,77,73,49,63,29,17,7,17,0,VVD
Putten,4462,1537,1195,594,2249,479,2120,152,1628,146,185,35,21,10,12,5,5,0,2,3,0,VVD
Raalte,6562,4796,1314,1953,4513,1545,341,317,46,170,366,43,31,23,17,25,0,4,2,4,0,VVD
Reimerswaal,2310,1606,1155,724,1055,267,582,92,4082,118,130,24,8,11,10,6,0,3,1,2,0,SGP
Renkum,5508,4925,1217,1615,1740,2348,411,725,133,500,344,52,55,33,9,6,3,0,4,4,0,VVD
Renswoude,1123,204,214,85,508,78,182,18,524,24,38,4,1,6,1,0,4,1,1,0,0,VVD
Reusel-De Mierden,2278,1283,632,1078,997,387,26,68,1,81,244,12,4,11,6,3,2,1,1,0,0,VVD
Rheden,6139,7851,2317,2926,2057,2390,539,775,129,621,427,66,61,41,18,12,6,0,5,6,0,PVDA
Rhenen,3284,1926,1140,520,911,762,511,205,1841,140,181,17,13,4,4,13,4,3,0,1,0,VVD
Ridderkerk,6248,5724,3555,2081,2028,1123,1486,260,2452,569,661,62,35,39,26,31,12,7,0,13,0,VVD
Rijnwaarden,1439,1710,953,821,519,297,26,71,5,91,136,11,15,9,7,3,3,2,0,3,0,PVDA
Rijnwoude,3931,1846,989,710,1279,803,490,175,691,148,225,33,18,13,11,11,5,2,3,1,0,VVD
Rijssen-Holten,4488,3033,1483,1121,3042,670,2935,140,5746,143,203,31,11,9,13,14,5,2,1,4,0,SGP
Rijswijk,7828,6289,4080,2018,1816,2546,448,593,115,713,899,123,63,40,30,34,12,4,7,6,0,VVD
Roerdalen,2951,2215,2668,1436,1313,522,57,197,9,220,258,26,30,4,10,16,8,1,2,2,0,VVD
Roermond,7282,6620,5249,3452,2032,2003,162,583,22,623,576,73,75,37,23,20,10,73,6,5,0,VVD
Roosendaal,11872,9708,5872,4849,3157,2527,280,583,40,695,1039,99,99,64,39,32,11,77,7,15,0,VVD
Rotterdam,56292,88314,36860,27337,12221,23286,5544,7310,2379,7244,5460,1202,448,474,301,240,213,102,81,94,0,PVDA
Rozendaal,503,170,46,35,96,133,15,29,4,21,11,0,2,0,0,0,1,0,1,0,0,VVD
Rucphen,3048,2210,3242,1303,1022,348,34,90,4,178,272,15,11,13,7,7,4,5,1,2,0,PVV
Saba,9,44,3,20,4,121,2,9,0,5,1,0,0,0,0,1,0,0,0,3,0,D66
Schagen,3616,3074,888,1029,768,901,115,188,20,222,304,31,24,27,12,12,4,2,5,3,0,VVD
Schermer,1326,692,261,239,335,256,25,67,7,64,61,9,10,8,4,3,1,0,1,2,0,VVD
Scherpenzeel,1875,591,420,184,627,201,468,56,1168,32,68,5,7,2,3,1,0,0,0,1,0,VVD
Schiedam,8174,11039,6335,3739,2164,2209,585,664,175,941,1001,146,63,52,45,31,15,20,12,7,0,PVDA
Schiermonnikoog,252,356,29,107,101,101,35,33,65,42,8,4,2,1,1,0,0,0,0,0,0,PVDA
Schijndel,3589,2738,1446,2121,1220,864,35,159,7,147,291,37,22,10,24,2,4,3,2,1,0,VVD
Schinnen,1812,1803,1276,1006,953,524,51,186,11,142,151,27,27,13,3,10,7,0,1,0,0,VVD
Schoonhoven,2216,1427,602,503,671,519,375,119,208,151,157,26,18,6,8,6,2,2,0,3,0,VVD
Schouwen-Duiveland,6802,4256,1962,1655,2150,1060,930,288,1981,429,343,39,60,24,16,14,7,3,6,4,0,VVD
's-Gravenhage,71833,73860,30758,20332,11864,31982,4144,9408,1375,7471,4425,1201,556,391,237,201,180,44,103,75,0,PVDA
's-Hertogenbosch,21349,19494,9175,10366,4664,8168,506,2440,103,1497,1729,273,197,127,56,45,23,16,12,15,0,VVD
Simpelveld,1087,1562,1287,859,704,299,17,67,4,102,116,24,15,6,11,6,0,1,0,0,0,PVDA
Sint Anthonis,2221,935,472,1798,1275,378,18,100,5,64,79,11,17,7,3,3,3,0,1,2,0,VVD
Sint Eustatius,23,74,2,57,9,73,4,15,2,0,2,0,0,0,0,0,0,0,0,1,0,PVDA
Sint-Michielsgestel,4912,3332,1509,2128,1764,1460,67,322,12,233,291,31,27,13,15,16,9,5,0,1,0,VVD
Sint-Oedenrode,3378,2061,901,1519,1443,737,36,125,10,91,195,25,16,17,6,3,4,1,4,0,0,VVD
Sittard-Geleen,10109,12202,10114,7406,4858,3177,274,1043,40,995,1096,151,143,120,38,44,14,9,10,8,0,PVDA
