gemeente,CDA,CU,D66,Evangelische Partij Nederland,GL,Heel NL,Lijst 17,Nieuw Nederland,PVV,Partij TTn,PVDA,Partij voor Mens en Spirit (MenS),Partij voor de Dieren,Piratenpartij,SP,SGP,TROTS OP NEDERLAND LIJST RITA VERDONK,VVD,Partij
Vlissingen,2918.0,769.0,1203.0,,1308.0,,21.0,8.0,4512.0,5.0,5336.0,87.0,479.0,34.0,3035.0,455.0,220.0,3902.0,PVDA
Vlist,1187.0,306.0,306.0,,244.0,1.0,6.0,2.0,862.0,1.0,747.0,5.0,60.0,2.0,393.0,592.0,37.0,1469.0,VVD
Voerendaal,1589.0,50.0,411.0,,420.0,,9.0,,1909.0,,1273.0,33.0,110.0,8.0,902.0,5.0,60.0,1264.0,PVV
Voorschoten,1912.0,230.0,1562.0,,1120.0,1.0,19.0,1.0,1585.0,2.0,2150.0,39.0,224.0,22.0,895.0,47.0,70.0,4384.0,VVD
Voorst,3072.0,214.0,952.0,,729.0,16.0,10.0,1.0,1654.0,1.0,2847.0,41.0,140.0,2.0,1217.0,227.0,79.0,3284.0,VVD
Vught,2015.0,79.0,1372.0,,1025.0,1.0,18.0,3.0,1781.0,2.0,2570.0,28.0,165.0,14.0,1788.0,7.0,75.0,3805.0,VVD
Waalre,1662.0,90.0,918.0,,554.0,1.0,13.0,4.0,1310.0,1.0,1401.0,22.0,104.0,11.0,1100.0,12.0,48.0,2760.0,VVD
Waalwijk,4122.0,679.0,1413.0,,1101.0,3.0,13.0,5.0,5160.0,3.0,3639.0,67.0,259.0,24.0,3086.0,472.0,159.0,5711.0,VVD
Waddinxveen,2263.0,1347.0,876.0,,642.0,6.0,5.0,1.0,2249.0,3.0,2187.0,26.0,151.0,11.0,1017.0,1018.0,85.0,3455.0,VVD
Wageningen,1957.0,874.0,3007.0,5.0,3099.0,4.0,24.0,6.0,1497.0,6.0,4882.0,66.0,263.0,34.0,1602.0,228.0,62.0,2900.0,PVDA
Wassenaar,1928.0,147.0,1124.0,,618.0,2.0,7.0,3.0,1880.0,3.0,1350.0,31.0,178.0,20.0,656.0,34.0,77.0,6354.0,VVD
